timestamp,x_px,y_px,raw_x,raw_y
1782957840.4188054,343,1457,2745,11664
1782957842.5187387,748,900,5987,7200
1782957845.876347,208,556,1668,4452
1782957846.4759638,179,483,1435,3862
1782957849.0673447,593,1276,4748,10209
1782957850.2474408,704,1493,5637,11952
1782957852.5707674,693,1175,5549,9400
1782957855.0198324,596,823,4773,6590
1782957856.1893275,752,435,6023,3480
1782957857.4834087,969,620,7762,4965
1782957860.8419325,549,1579,4392,12639
1782957862.611493,562,483,4496,3869
1782957865.3279653,878,822,7027,6579
1782957871.4889364,960,1440,7686,11523
1782957873.4444633,981,1446,7854,11569
1782957874.4081943,657,1700,5264,13601
1782957875.2534027,648,1749,5187,13997
1782957877.3717604,641,2448,5131,19593
1782957877.435894,641,2435,5133,19483
1782957877.4519823,642,2406,5137,19257
1782957877.4526541,642,2396,5139,19176
1782957877.4633482,642,2386,5141,19094
1782957877.466944,642,2380,5143,19046
1782957877.482559,643,2368,5145,18954
1782957877.4864607,643,2365,5147,18924
1782957877.501391,643,2360,5151,18886
1782957877.5014827,644,2355,5155,18850
1782957877.5015233,644,2352,5159,18820
1782957877.50552,645,2347,5165,18786
1782957877.5071814,646,2343,5171,18752
1782957877.5114644,647,2339,5177,18718
1782957877.5156279,648,2335,5185,18684
1782957877.5193913,648,2330,5191,18650
1782957877.524075,649,2326,5199,18618
1782957877.5278528,650,2323,5207,18588
1782957877.532231,651,2319,5215,18560
1782957877.5367382,652,2316,5223,18534
1782957877.5414433,653,2314,5229,18516
1782957877.5467563,654,2312,5233,18500
1782957877.5543344,654,2310,5239,18486
1782957877.554428,655,2308,5245,18472
1782957877.5570393,656,2306,5249,18458
1782957877.5617144,656,2304,5253,18442
1782957877.565644,657,2303,5259,18430
1782957877.5700583,657,2301,5263,18418
1782957877.5741751,658,2300,5267,18406
1782957877.5787337,658,2299,5271,18396
1782957877.5823605,659,2297,5275,18384
1782957877.5866697,659,2296,5279,18376
1782957877.5936167,660,2295,5283,18364
1782957877.5952308,660,2294,5287,18356
1782957877.5989997,661,2293,5291,18348
1782957877.6036308,661,2292,5295,18340
1782957877.6082995,662,2291,5299,18334
1782957877.6154196,662,2290,5303,18326
1782957877.6172154,663,2289,5307,18318
1782957877.6204498,663,2289,5311,18316
1782957877.6273344,664,2288,5313,18312
1782957877.6283808,664,2288,5315,18310
1782957877.9519985,646,2458,5171,19670
1782957878.021587,646,2456,5169,19653
1782957878.0264573,645,2454,5168,19638
1782957878.0309396,645,2453,5166,19629
1782957878.0359929,645,2449,5165,19595
1782957878.0673323,645,2389,5167,19115
1782957878.1385055,646,2330,5169,18643
1782957878.1692111,646,2310,5171,18485
1782957878.173055,646,2307,5173,18465
1782957878.1875317,646,2303,5175,18429
1782957878.1876166,647,2300,5177,18407
1782957878.190779,647,2298,5179,18387
1782957878.1939194,647,2295,5181,18367
1782957878.198436,647,2293,5183,18349
1782957878.2079146,648,2288,5185,18309
1782957878.2109466,648,2286,5187,18291
1782957878.2174687,648,2283,5189,18273
1782957878.2217855,648,2281,5191,18257
1782957878.2234411,649,2279,5193,18239
1782957878.2304091,649,2277,5195,18223
1782957878.231539,649,2275,5197,18207
1782957878.2380693,649,2273,5199,18193
1782957878.2475443,650,2271,5201,18177
1782957878.253316,650,2270,5203,18163
1782957878.2534149,650,2268,5205,18147
1782957878.2534695,650,2266,5207,18131
1782957878.2564833,651,2264,5209,18117
1782957878.2616756,651,2262,5211,18105
1782957878.2708447,651,2261,5213,18093
1782957878.270901,651,2259,5215,18079
1782957878.2777226,652,2258,5217,18067
1782957878.2828293,652,2256,5219,18057
1782957878.282916,652,2255,5221,18045
1782957878.2852457,652,2254,5223,18035
1782957878.2917557,653,2253,5225,18027
1782957878.295796,653,2251,5227,18017
1782957878.299627,653,2250,5229,18007
1782957878.3047025,653,2249,5231,17997
1782957878.3068497,654,2248,5233,17989
1782957878.3144987,654,2247,5235,17983
1782957878.3212314,654,2245,5237,17967
1782957878.3252215,654,2244,5239,17961
1782957878.3280911,655,2244,5241,17955
1782957878.3319502,655,2243,5243,17953
1782957878.3356693,655,2243,5245,17949
1782957878.341012,655,2242,5247,17945
1782957878.345213,656,2242,5249,17941
1782957878.3479645,656,2241,5251,17937
1782957878.353421,656,2241,5253,17933
1782957878.931478,663,1723,5309,13789
1782957878.9719036,667,1719,5343,13759
1782957878.9719954,671,1720,5375,13761
1782957878.9789028,676,1719,5411,13757
1782957878.9802456,681,1721,5455,13769
1782957878.9876516,693,1721,5551,13773
1782957878.9938455,700,1722,5607,13777
1782957878.999489,708,1723,5667,13785
1782957879.0004408,716,1723,5729,13789
1782957879.004744,724,1723,5795,13791
1782957879.0085852,732,1724,5863,13793
1782957879.0129826,741,1724,5935,13797
1782957879.0173836,751,1723,6009,13787
1782957879.0218792,760,1723,6087,13789
1782957879.025465,770,1723,6165,13791
1782957879.0300984,780,1724,6243,13797
1782957879.042691,808,1724,6467,13799
1782957879.0464046,816,1726,6537,13815
1782957879.050403,825,1727,6605,13819
1782957879.0554488,833,1727,6673,13823
1782957879.058882,842,1727,6739,13821
1782957879.0656843,850,1727,6805,13823
1782957879.0671918,858,1726,6871,13809
1782957879.0736446,866,1726,6935,13813
1782957879.0755208,874,1726,6999,13809
1782957879.0829253,882,1727,7061,13817
1782957879.0878153,889,1726,7119,13809
1782957879.0894628,896,1727,7171,13817
1782957879.0991447,902,1726,7221,13809
1782957879.0992064,908,1728,7267,13825
1782957879.1030972,913,1726,7311,13813
1782957879.1090987,923,1724,7391,13799
1782957879.1166286,928,1725,7427,13801
1782957879.11948,932,1725,7461,13803
1782957879.122468,936,1724,7497,13799
1782957879.1270878,940,1723,7527,13787
1782957880.94673,674,1549,5399,12395
